Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1837.195313
FDW14,OUT017,1534.233158
NCN55,OUT010,1885.671875
FDQ58,OUT017,2583.382813
FDY38,OUT027,5143.319095
FDH56,OUT046,1957.951908
FDL48,OUT018,596.8581577
FDC48,OUT027,2785.71875
FDN33,OUT045,1499.64722
FDA36,OUT017,3093.96875
FDT44,OUT017,2026.210938
FDQ56,OUT045,1343.765625
NCC54,OUT019,1876.453125
FDU11,OUT049,2065.257813
DRL59,OUT013,911.78125
FDM24,OUT049,2559.662845
FDI57,OUT045,3269.765625
DRC12,OUT018,2753.28125
NCM42,OUT027,3189.023438
FDA46,OUT010,1123.242188
FDA31,OUT013,2838.25
NCJ31,OUT035,3885.382813
FDG52,OUT046,776.7890625
NCL19,OUT019,375.578125
FDS10,OUT035,3011.726563
FDX22,OUT010,1453.49097
NCF19,OUT035,915.0546875
NCE06,OUT046,2532.09375
DRC27,OUT046,3831.515625
FDE21,OUT035,2060.492188
NCR42,OUT019,-1368.765625
FDX51,OUT018,2871.686283
NCR06,OUT018,420.5234375
FDU31,OUT027,4981.350345
FDU59,OUT017,2723.53125
FDR03,OUT027,4758.342533
FDS49,OUT027,2783.960938
FDD48,OUT010,-66.53125
NCF18,OUT017,3108.710938
NCD43,OUT027,3094.179688
NCD54,OUT018,1981.945313
FDY19,OUT010,-5.453125
NCY54,OUT017,2807.546875
NCL19,OUT018,2029.09375
FDP23,OUT010,1544.640625
FDC26,OUT013,1850.054688
FDR14,OUT010,-1075.367188
NCS41,OUT035,3051.070313
FDF41,OUT035,4023.585938
FDU34,OUT046,1989.578125
DRH11,OUT046,951.1953125
FDM03,OUT013,1738.46875
FDS31,OUT017,3059.381595
FDJ20,OUT017,2127.381595
FDV44,OUT027,4525.655033
FDG02,OUT049,3139.867188
FDA09,OUT013,2920.936283
FDT04,OUT013,649.203125
FDL58,OUT019,2281.58472
FDE52,OUT045,1405.295658
FDW12,OUT035,2510.61597
FDL51,OUT017,3512.623783
NCY42,OUT027,3685.125
FDR07,OUT017,1695.023438
FDN40,OUT045,2338.90625
FDB35,OUT027,2980.639408
FDA22,OUT017,2766.664063
NCL06,OUT046,4107.273438
FDI35,OUT013,2941.664063
NCW42,OUT045,3401.726563
NCX06,OUT049,2933.453125
FDC37,OUT027,3203.742188
FDZ14,OUT018,1696.155033
DRG49,OUT049,3951.039063
NCG06,OUT045,3949.023438
DRC36,OUT045,2713.787845
FDV21,OUT019,43.5234375
FDB53,OUT046,2328.5625
DRP47,OUT019,2054.265625
FDA14,OUT013,2310.210938
DRC24,OUT035,2562.757813
FDW21,OUT018,1398.858158
NCH29,OUT046,1579.46875
FDU58,OUT013,3071.319095
FDY27,OUT017,2902.234375
FDV56,OUT035,1983.475345
FDT59,OUT046,3668.609375
FDB23,OUT046,3646.670658
FDR49,OUT045,720.0078125
FDB03,OUT010,1871.108158
FDN39,OUT045,2611.99097
FDX02,OUT027,4946.125
FDQ16,OUT027,3167.1875
FDU35,OUT018,1337.570313
NCT29,OUT013,1984.273438
FDZ27,OUT046,785.7109375
FDN57,OUT017,2340.109375
FDA03,OUT018,2052.756595
FDZ36,OUT045,2926.639408
NCU05,OUT013,1348.195313
FDT39,OUT018,2194.600345
FDK60,OUT017,1710.170658
FDZ25,OUT017,2874.80347
FDG12,OUT046,2021.725345
DRB01,OUT019,1105.40625
NCC43,OUT027,5366.015625
FDX13,OUT019,2061.773438
FDM22,OUT049,1019.326908
FDJ03,OUT027,2269.998783
FDU14,OUT018,3631.953125
FDB33,OUT010,666.7578125
FDP27,OUT046,3018.03125
FDO38,OUT010,-644.0390625
FDE28,OUT027,5118.86597
FDO27,OUT035,1704.52222
DRL23,OUT027,3190.960938
FDS28,OUT046,943.7019077
FDX24,OUT013,1548.8125
FDZ02,OUT035,1715.530033
FDL46,OUT045,1799.703125
FDS60,OUT027,4302.34375
NCO06,OUT017,626.921875
FDO16,OUT035,1511.523438
FDC60,OUT049,1550.358158
FDA48,OUT018,3199.632813
FDZ36,OUT027,4456.412845
FDK27,OUT045,1885.351563
FDW23,OUT018,387.8671875
FDM14,OUT018,1536.640625
FDM14,OUT013,1815.492188
FDW60,OUT018,2609.139408
FDE21,OUT013,1946.101563
NCM42,OUT035,1882.140625
FDY59,OUT010,-378.34375
DRI49,OUT049,1366.382813
FDT28,OUT019,486.2578125
FDQ22,OUT018,396.03125
FDR60,OUT049,1332.8125
FDC50,OUT019,-373.6328125
FDV24,OUT013,2449.726563
DRF48,OUT010,1065.140625
FDQ47,OUT046,653.9362827
DRN36,OUT049,1649.890625
NCY06,OUT035,2167.921875
FDE52,OUT035,1609.670658
NCB54,OUT045,1963.578125
NCF31,OUT035,2547.164063
FDJ08,OUT027,4483.726563
NCC07,OUT017,1785.351563
NCD19,OUT027,2322.304688
FDL46,OUT049,1998.015625
FDM20,OUT045,3862.523438
NCI06,OUT010,920.5859375
DRM11,OUT035,4245.125
NCH07,OUT018,2204.429688
FDS23,OUT013,2098.632813
FDO49,OUT018,604.7565952
FDS35,OUT049,1170.453125
DRK39,OUT045,1242.765625
DRI39,OUT049,1017.070313
FDV04,OUT017,2618.89722
NCN14,OUT035,3015.890625
FDH08,OUT013,3734.890625
FDS20,OUT046,2946.023438
FDV40,OUT049,1315.375
FDZ48,OUT010,-143.9375
FDS24,OUT027,2915.36597
FDK44,OUT049,2886.515625
FDS48,OUT045,2335.78125
FDK26,OUT010,1135.70972
FDD23,OUT045,2995.694095
NCH54,OUT017,2638.21875
NCP14,OUT010,-255.5625
FDM60,OUT010,-1195.29028
FDV24,OUT017,2515.023438
FDH08,OUT018,3390.65625
FDS12,OUT027,3470.304688
FDR39,OUT027,4317.867188
FDP12,OUT027,2124.858158
DRF60,OUT027,5167.828125
FDC09,OUT035,1883.600345
FDF50,OUT018,2891.257813
FDG28,OUT035,4020.655033
NCE19,OUT017,985.421875
NCM53,OUT010,-180.53125
NCN18,OUT049,1851.890625
FDF32,OUT035,3332.6875
FDF11,OUT013,3895.912845
DRI59,OUT049,3672.429688
NCG54,OUT035,2801.625
FDM44,OUT046,1679.359375
FDT57,OUT018,3460.460938
FDV24,OUT046,2409.820313
FDI50,OUT019,1786.45972
FDS09,OUT035,1029.498783
NCC31,OUT027,3890.179688
FDQ07,OUT019,1628.795658
FDC22,OUT017,3166.358158
FDZ56,OUT046,2736.4375
FDZ40,OUT019,-1018.421875
FDS46,OUT027,3387.514408
DRD24,OUT045,2161.5
FDV45,OUT017,3101.9375
FDL26,OUT045,2437.523438
FDA56,OUT018,1745.789063
FDN27,OUT046,1903.851563
FDM20,OUT049,4010.984375
FDO16,OUT017,1443.898438
FDL03,OUT035,3296.95972
FDE58,OUT046,1872.539063
FDI02,OUT027,3311.264408
NCC55,OUT019,-1274.359375
FDR03,OUT018,3040.826908
FDB14,OUT017,1659.686283
FDR45,OUT013,3841.765625
NCN07,OUT017,2173.734375
FDM51,OUT019,-191.5168423
FDT52,OUT027,5340.58472
FDL26,OUT046,2484.515625
NCZ42,OUT046,3757.132813
DRI47,OUT019,445.2265625
FDW40,OUT013,2291.951908
FDN34,OUT046,2726.514408
FDS01,OUT035,3020.132813
NCG55,OUT045,1766.648438
FDC11,OUT035,1564.554688
FDX35,OUT018,3354.36597
NCB06,OUT046,2541.835938
FDR09,OUT019,2187.234375
FDC53,OUT017,1663.539063
FDY45,OUT013,4054.640625
FDA22,OUT010,781.8359375
FDE02,OUT035,1701.734375
FDW21,OUT045,1609.537845
FDV34,OUT046,1251.780033
FDS59,OUT049,1908.27222
NCW17,OUT017,2155.78125
NCK54,OUT046,1857.101563
FDG17,OUT019,1986.405033
FDG35,OUT017,2920.858158
FDD08,OUT010,-1223.429688
NCO07,OUT017,3447.671875
FDJ10,OUT010,362.4675327
FDW36,OUT017,1788.75
FDW21,OUT010,-237.9543423
FDY19,OUT017,2035.8125
DRE03,OUT013,791.8359375
NCC55,OUT049,715.734375
FDH52,OUT010,-843.9934048
FDO09,OUT017,4299.11597
FDU43,OUT045,3787.92847
FDX09,OUT010,857.421875
FDH40,OUT019,-540.9074673
FDW58,OUT017,1791.226563
FDC47,OUT017,3677.054688
NCR41,OUT035,1674.53125
DRG49,OUT035,3989.835938
FDC52,OUT027,3895.881595
FDY13,OUT046,1257.585938
FDY35,OUT013,834.1081577
FDI35,OUT017,3022.625
NCU18,OUT049,2322.859375
FDY33,OUT018,2271.701908
FDC15,OUT027,3893.960938
FDU01,OUT049,3126.67847
NCU42,OUT046,2675.890625
NCV29,OUT018,2551.15625
NCY30,OUT017,2979.960938
FDQ46,OUT049,1886.140625
FDG58,OUT027,3928.748783
FDK33,OUT017,3485.226563
NCD07,OUT045,1757.375
NCX29,OUT027,3742.960938
NCT42,OUT013,2376.570313
DRN59,OUT035,919.1875
FDI44,OUT035,1454.976563
FDA45,OUT049,2894.375
FDP31,OUT045,1056.045658
FDY01,OUT046,1894.42847
FDT09,OUT018,1893.24097
DRH03,OUT027,2949.320313
FDA36,OUT018,2709.203125
NCF31,OUT017,2519.953125
FDG14,OUT049,2585.655033
FDG28,OUT027,5349.444095
FDU14,OUT049,4017.804688
FDY47,OUT019,250.5300327
